"ev";"gdp";"hicp";"zene_tanc";"kultura";"atlag_ber"
2000;13 340 291;29,86;;96 043;87645
2001;15 413 047;32,58;8 691;132 115;103553
2002;17 440 963;34,29;12 762;148 082;122482
2003;19 108 793;35,89;15 076;163 385;137193
2004;21 088 678;38,32;15 343;170 386;145520
2005;22 572 429;39,65;14 088;169 982;158343
2006;24 321 949;41,25;12 651;173 367;171351
2007;25 730 258;44,52;12 470;173 443;185017
2008;27 233 189;47,21;11 254;180 605;198964
2009;26 467 800;49,11;12 056;179 224;199 836
2010;27 427 573;51,43;5 783;196 651;202 525
2011;28 492 068;53,45;16 415;217 477;213 094
2012;28 919 193;56,47;17 584;190 064;223 060
2013;30 343 344;57,44;23 401;213 213;230 713
2014;32 826 770;57,45;20 819;281 065;237 694
2015;34 984 755;57,49;24 911;355 395;247 924
2016;36 311 882;57,74;33 663;365 707;263 171
2017;39 335 929;59,12;28 930;383 704;297 017
2018;43 553 984;60,84;34 752;448 032;329 943
2019;47 940 496;62,92;57 946;567 632;359 702
2020;48 807 766;65,05;56 858;670 212;392 148
2021;55 560 466;68,43;57 442;541 231;426 144
2022;65 950 424;78,88;48 553;664 186;501 127
2023;75 218 235;92,32;56 424;741 510;571 477
2024;81 493 548;95,75;52 335;719 230;646 635
2025;;100;;;705 014
