"ev";"korus";"bevetel";"kiadas";"koncert_belfold";"koncert_kulfold";"latogato_belfold";"latogato_kulfold";"kozpenz";"sajat_bevetel";"belfoldi_bevetel";"kulfoldi_bevetel";"szemelyi_jellegu";"szemelyi_jellegu_berjarulek_nelkul";"berkotseg";"szem_egyeb";"berjarulek";"letszam";"anyagjellegu"
2000;"NÉ";455844;434788;;;;;;;;;;;;;;;
2001;"NÉ";715220;736107;;;;;;;;;;;;;;;
2002;"NÉ";673829;731177;;;;;567785;;;;;;;;;;
2003;"NÉ";827960;838215;;;;;712153;;;;;;;;;;
2004;"NÉ";785293;816301;;;;;694559;;;;;;;;;;
2005;"NÉ";746629;821048;;;;;679551;;;;;;;;;;
2006;"NÉ";734248;740290;;;;;624110;;;;;;;;;;
2007;"NÉ";759228;706938;;;;;659770;;;;;;;;;;
2008;"NÉ";831948;699148;;;;;648919;68730;;;598329;487766;448781;38985;110563;90;79085
2009;"NÉ";819292;727591;;;;;643784;90646;;;641266;523628;471509;52119;117638;92;65993
2010;"NÉ";688198;684430;;;;;591873;53731;;;601581;492280;455848;36432;109301;95;69339
2011;"NÉ";869237;806295;;;;;668888;131026;;;689948;566550;524689;41861;123399;95;100079
2012;"NÉ";807441;814724;;;;;736930;53195;;;730106;594069;540054;54015;136037;99;70986
2013;"NÉ";921174;902758;;;;;840197;70513;;;801050;654075;621003;33073;146975;98;89422
2014;"NÉ";804770;829215;;;;;718602;76708;;;723503;590681;549906;40775;132823;97;78471
2015;"NÉ";924297;921094;;;;;863954;56787;;;828066;675354;631381;43973;152712;97;83898
2016;"NÉ";935344;935090;;;;;805555;124815;;;808949;661747;618111;43636;147202;95;84675
2017;"NÉ";932883;928915;;;;;850194;69940;;;813306;675091;629902;45189;138216;95;100980
2018;"NÉ";1008815;994984;;;;;903445;98873;;;841071;703360;654963;48397;137711;94;138821
2019;"NÉ";1005159;996849;;;;;919402;67414;;;817109;688203;632653;55550;128906;95;140531
2020;"NÉ";1178425;1020433;;;;;966547;17748;;;868649;786968;678200;108768;81681;95;92228
2021;"NÉ";1065387;1064474;;;;;978863;45701;;;914029;824883;729993;94890;89146;94;128022
2022;"NÉ";1351201;1348425;;;;;1256958;88646;;;1146120;1037169;962401;74768;108951;93;148182
2023;"NÉ";1667490;1660691;;;;;1557592;97317;;;1460203;1369899;1206317;163582;90304;93;169165
2024;"NÉ";1526108;1522036;;;;;1412921;110945;;;1240941;1160414;1073665;86749;80527;92;231100
2025;"NÉ";1703536;1693862;;;;;1614056;86251;;;1464962;1363508;1133147;230362;101454;92;174565
2022;"KKD";416537;416170;;;;;390480;26052;;;318468;284192;261600;22592;34276;53;95903
2023;"KKD";578893;572065;;;;;542966;35849;;;410029;379508;359166;20342;30521;54;157951
2024;"KKD";582774;581072;;;;;549290;32954;;;425746;394143;376327;17816;31603;54;147695
2025;"KKD";618154;614755;;;;;571937;45754;;;469711;545441;525358;20083;33360;54;134253
2020;"MRÉ";413039;406125;;;;;389335;23614;;;321204;286673;262864;23808;34532;54;52445
2021;"MRÉ";552629;548368;;;;;518008;34502;;;452570;406183;357292;48891;46387;52;61726
2022;"MRÉ";721315;720354;;;;;667102;54163;;;557278;502937;456481;46456;54341;53;84524
2023;"MRÉ";768300;767444;;;;;703452;61951;;;598879;557475;491943;65533;41403;57;119066
2024;"MRÉ";819514;819511;;;;;755697;63889;;;663297;617979;556464;61515;45319;59;123251
2025;"MRÉ";861263;848775;;;;;775509;83202;;;716771;667360;608994;58366;49411;62;103014
