"ev";"zenekar";"bevetel";"kiadas";"koncert_belfold";"koncert_kulfold";"latogato_belfold";"latogato_kulfold";"kozpenz";"sajat_bevetel";"szemelyi_jellegu";"berkotseg";"szem_egyeb";"berjarulek";"letszam";"anyagjellegu";"egy_fore_szemelyi"
2025;"MSO";907128;893939;102;;29275;;796380;89128;672200;587385;12679;72136;93;202269;602
2024;"MSO";749037;746487;82;;25113;;684708;63000;586893;516337;8083;62473;93;150705;526
2023;"MSO";692078;690902;77;;22068;;637000;51439;565147;496001;6280;62866;92;110248;512
2022;"MSO";606970;606940;75;;25451;;543260;48318;492249;426693;6294;59262;95;102193;432
2021;"MSO";509087;509036;57;;27476;;469499;36965;409068;345963;7198;55907;97;85636;351
2020;"MSO";489579;488010;41;;23961;;443812;41812;384228;339055;4007;41166;99;88952;323
2019;"MSO";568160;565600;93;;38341;;506503;60563;432778;355216;9197;68365;99;120113;364
2018;"MSO";567753;566148;84;2;35625;2260;501286;65346;430275;324818;33522;71935;99;123730;362
2017;"MSO";516576;515108;81;13;35455;27520;453786;62326;405242;295470;37731;72041;97;96191;348
2016;"MSO";366673;369557;;;27213;;501786;58719;430275;324818;71935;33522;99;62034;362
2015;"MSO";404303;404180;;;29410;;354896;46806;298031;;;;;98925;""
2014;"MSO";385040;386952;;;26856;;354646;28423;303843;238562;5089;60192;103;71305;246
2013;"MSO";395796;395552;;;26000;;366494;28919;312004;;;;100;75874;260
2012;"MSO";380710;379961;;;26000;;341951;37235;258950;;;;112;108361;193
2000;"NFZ";643181;613471;;;;;;;;;;;;;
2001;"NFZ";1009152;1038622;;;;;;;;;;;;;
2002;"NFZ";950749;1031666;;;;;801125;;;;;;;;
2003;"NFZ";1168224;1182694;;;;;1004824;;;;;;;;
2004;"NFZ";1108022;1151774;;;;;980000;;;;;;;;
2005;"NFZ";1053468;1158471;;;;;958824;;;;;;;;
2006;"NFZ";1035999;1044525;;;;;880599;;;;;;;;
2007;"NFZ";1071246;997466;;;;;930913;;;;;;;;
2008;"NFZ";1168898;982313;;;;;911741;;;;;;;;
2009;"NFZ";1176050;1044418;;;;;924118;;;;;;;;
2010;"NFZ";974519;969182;;;;;838118;;;;;;;;
2011;"NFZ";1251214;1160612;;;;;962824;;;;;;;;
2012;"NFZ";1124685;1134830;;;;;1026471;;;;;;;;
2013;"NFZ";1256191;1231078;;;;;1145765;;;;;;;;
2014;"NFZ";1161093;1196362;;;;;1036774;;;;;;;;
2015;"NFZ";1207705;1203521;;;;;1128861;;;;;;;;
2016;"NFZ";1316761;1316404;;;;;1134047;;;;;;;;
2017;"NFZ";1312621;1307037;;;;;1196272;;;;;;;;
2018;"NFZ";1419811;1400345;;;;;1271511;;;;;;;;
2019;"NFZ";1439653;1427751;;;;;1316826;;;;;;;;
2020;"NFZ";1722444;1491515;;;;;1412752;;;;;;;;
2021;"NFZ";1559191;1557855;;;;;1432564;;;;;;;;
2022;"NFZ";1911518;1907591;;;;;1778194;;;;;;;;
2023;"NFZ";2352773;2343179;;;;;2197709;;;;;;;;
2024;"NFZ";2153288;2147541;;;;;1993584;;;;;;;;
2025;"NFZ";2403632;2389983;;;;;2277379;;;;;;;;
2010;"BDZ";301811;289085;;;;;;;;;;;;;
2011;"BDZ";354365;340987;;;;;;;;;;;;;
2012;"BDZ";502278;487473;;;;;;;;;;;;;
2013;"BDZ";670197;654314;;;;;;;;;;;;;
2014;"BDZ";824215;807497;;;;;;;;;;;;;
2015;"BDZ";946611;928605;;;;;;;;;;;;;
2016;"BDZ";987152;969391;;;;;;;;;;;;;
2017;"BDZ";1073560;1056191;;;;;;;;;;;;;
2018;"BDZ";1201481;1182584;;;;;;;;;;;;;
2019;"BDZ";810261;799079;;;;;;;;;;;;;
2020;"BDZ";785737;766859;;;;;;;;;;;;;
2021;"BDZ";1155565;1061444;;;;;1060676;;;;;;;;
2022;"BDZ";1452486;1380516;;;;;1224910;;;;;;;;
2023;"BDZ";2023191;1618487;;;;;1629456;;;;;;;;
2024;"BDZ";1551917;1844955;;;;;1037149;;;;;;;;
2012;"Concerto";660139;484839;;;;;518687;;;;;;;;
2013;"Concerto";467539;489362;;;;;333722;;;;;;;;
2014;"Concerto";718367;630732;;;;;604509;;;;;;;;
2015;"Concerto";720590;699009;;;;;563028;;;;;;;;
2016;"Concerto";831010;830877;;;;;717334;;;;;;;;
2017;"Concerto";769803;890640;;;;;608503;;;;;;;;
2018;"Concerto";825586;821837;;;;;712733;;;;;;;;
2019;"Concerto";1187728;1158073;;;;;1018062;;;;;;;;
2020;"Concerto";1173940;1172618;;;;;1069610;;;;;;;;
2021;"Concerto";1561954;1561563;;;;;1485947;;;;;;;;
2022;"Concerto";1890576;1888491;;;;;1729203;;;;;;;;
2023;"Concerto";2093201;2005862;;;;;1899955;;;;;;;;
2024;"Concerto";1871565;1871822;;;;;1706549;;;;;;;;
2025;"Concerto";2485036;2315180;;;;;2236209;;;;;;;;
2008;"BFZ";1772040;1785744;;;;;910672;;;;;;;;
2009;"BFZ";1915649;1671177;;;;;969123;;;;;;;;
2010;"BFZ";2172757;1896711;;;;;1250890;;;;;;;;
2011;"BFZ";2419899;2367128;;;;;1292896;;;;;;;;
2012;"BFZ";2265356;2276763;;;;;1425223;;;;;;;;
2013;"BFZ";3034613;2729188;;;;;1920590;;;;;;;;
2014;"BFZ";3043209;2798785;;;;;1853065;;;;;;;;
2015;"BFZ";2744203;2964323;;;;;1502595;;;;;;;;
2016;"BFZ";2919296;3061953;;;;;1757378;;;;;;;;
2017;"BFZ";3089646;3145674;;;;;1698210;;;;;;;;
2018;"BFZ";2974935;2931109;;;;;1893021;;;;;;;;
2019;"BFZ";3052297;3229859;;;;;1681874;;;;;;;;
2020;"BFZ";2602966;2001555;;;;;1827643;;;;;;;;
2021;"BFZ";3564707;3017378;;;;;2491809;;;;;;;;
2022;"BFZ";3906440;3675100;;;;;2247618;;;;;;;;
2023;"BFZ";4447742;4101460;;;;;2352890;;;;;;;;
2024;"BFZ";4560621;4445488;;;;;2369403;;2639306;;;;;;
2025;"BFZ";5231930;5293542;;;;;2811161;;2989162;;;;;;
